Airport IATA,Year,Month,Delay Date,Efficiency Factor,Carrier Delay Percentage,Weather Delay Percentage,NAS Delay Percentage,Security Delay Percentage,Late Aircraft Delay Percentage
ELP,2015,1,201501,84.48,65.67,11.11,6.89,0,16.33
CAK,2015,1,201501,86.49,39.67,7.07,26,0,27.27
MDT,2015,1,201501,82.89,37.46,0,42.69,0,19.85
OKC,2015,1,201501,93.16,62,11.25,1.38,0,25.37
HSV,2015,1,201501,89.62,52.74,1.68,22.47,0,23.11
HDN,2015,1,201501,85.19,72.75,25,2.25,0,0
MTJ,2015,1,201501,100,0,0,0,0,0
ICT,2015,1,201501,89.04,53,0,8.88,0,38.13
BIL,2015,1,201501,82.86,50.5,7,28.5,0,14
OAK,2015,1,201501,95.12,75,0,6.5,0,18.5
FAR,2015,1,201501,81.97,40.45,6.45,39.82,0,13.27
CHO,2015,1,201501,83.33,3.5,25,50,0,21.5
BZN,2015,1,201501,85.14,57.18,0,37.36,0,5.55
LEX,2015,1,201501,88.71,46.57,14.29,0.43,0,38.71
PWM,2015,1,201501,82.76,40,0.2,34,0,25.8
ROA,2015,1,201501,85.19,12.5,0.25,15.75,0,71.5
FAY,2015,1,201501,90.32,42.33,2.67,11,0,44
SGF,2015,1,201501,90.32,0,3.33,0,0,96.67
MYR,2015,1,201501,87.1,74,26,0,0,0
DAL,2015,1,201501,93.33,65.63,1.38,12.5,0,20.5
LFT,2015,1,201501,90.32,30.67,33.33,25.33,0,10.67
CAE,2015,1,201501,94.81,39,10.5,9.5,0,41
LIH,2015,1,201501,87.1,63,0,23.25,0,13.75
TUL,2015,1,201501,92,41.13,5.5,17.63,0,35.75
PSP,2015,1,201501,90,62.33,0,37.67,0,0
AGS,2015,1,201501,89.74,55.75,1.75,0,0,42.5
BIS,2015,1,201501,82.76,35.8,0,46.8,0,17.4
FSD,2015,1,201501,75,45.5,1.88,39.75,0,12.88
DLH,2015,1,201501,96.43,88,0,12,0,0
GRB,2015,1,201501,0,100,0,0,0,0
GNV,2015,1,201501,93.55,100,0,0,0,0
XNA,2015,1,201501,91.49,69.25,0,0,0,30.75
ABE,2015,1,201501,87.5,20,0,59.33,0,21
CRW,2015,1,201501,64.29,34,0,24.7,0,41.3
CHA,2015,1,201501,96.94,49.33,4.67,0,0,46
DSM,2015,1,201501,84.62,24.92,9.92,43.58,0,21.58
ILM,2015,1,201501,92.86,0,100,0,0,0
EVV,2015,1,201501,89.29,76.67,0,0,0,23.33
PSC,2015,1,201501,90.91,41,0,59,0,0
SHV,2015,1,201501,91.3,100,0,0,0,0
BTR,2015,1,201501,100,0,0,0,0,0
DFW,2015,1,201501,73.23,30.28,0.01,25.25,0,44.46
LAW,2015,1,201501,80.65,16.42,0,10.92,0,72.67
RAP,2015,1,201501,75.44,31.71,0,22.86,0,45.43
BTR,2015,1,201501,78.1,34.93,0,25.07,0,39.99
MHK,2015,1,201501,74.19,35.5,0,14.75,0,49.75
LFT,2015,1,201501,79.13,41.92,0.71,30.97,0,26.42
CRP,2015,1,201501,75.35,37.25,0,36.03,0,26.72
SJT,2015,1,201501,87.1,22.25,0,77.75,0,0
MLI,2015,1,201501,72.33,42.25,3.21,25.11,0,29.44
TYR,2015,1,201501,80,45.29,0,8.38,0,46.33
TYS,2015,1,201501,75,31.18,2.72,28.49,0,37.61
SHV,2015,1,201501,77.19,37.67,1.01,28.59,0,32.74
MOB,2015,1,201501,80.56,41.64,1.88,21.28,0,35.2
FSD,2015,1,201501,73.86,36.68,1.62,24.77,0,36.93
CRW,2015,1,201501,75.68,33.92,2.78,23.75,0,39.56
BPT,2015,1,201501,64.52,40.41,0,27.18,0,32.36
CLL,2015,1,201501,84.48,33,0,31.11,0,35.89
BRO,2015,1,201501,78.33,32.59,3.14,27.84,0,36.43
LCH,2015,1,201501,82.05,34.62,3.48,25.43,0,36.48
SPS,2015,1,201501,69.23,63.75,0,36.25,0,0
LIT,2015,1,201501,75.9,30.63,1.57,40.18,0,27.63
GGG,2015,1,201501,74.19,40,0,36.75,0,23.25
MLU,2015,1,201501,82.02,36.85,0,20.22,0,42.93
OKC,2015,1,201501,81.25,37.25,4.47,35.86,0,22.42
SGF,2015,1,201501,82.99,57.8,0,13.72,0,28.48
TUL,2015,1,201501,82.89,37.16,4.13,33.36,0,25.36
ATL,2015,1,201501,79.29,25.19,0,32.6,0,42.21
GRB,2015,1,201501,68.22,23.41,4.93,44.78,0,26.88
GSP,2015,1,201501,76.52,48.93,0.63,28.94,0,21.5
HRL,2015,1,201501,82.46,21.25,3.05,48.8,0,26.9
IAD,2015,1,201501,75.28,17.94,1.48,35.1,0,45.48
IAH,2015,1,201501,82.15,17.1,2.71,44.38,0,35.81
ORD,2015,1,201501,75.42,13.35,2.48,48.47,0,35.69
COS,2015,1,201501,88.17,40.45,5.91,28.64,0,25
EWR,2015,1,201501,79.07,13.57,1.83,46.17,0,38.43
GRK,2015,1,201501,70.71,49.51,0,26.44,0,24.05
IND,2015,1,201501,77.9,32.44,2.64,37.66,0,27.25
JAX,2015,1,201501,70,31.81,0,39.78,0,28.41
MAF,2015,1,201501,80.95,28.7,3.8,39.11,0,28.39
MSN,2015,1,201501,75.73,29.66,4.72,23.54,0,42.08
HPN,2015,1,201501,76.25,50.75,2.87,17.8,0,28.56
LGA,2015,1,201501,71.16,30.02,0.09,40.58,0,29.32
ORF,2015,1,201501,75.94,32.84,7.47,39.96,0,19.71
SAT,2015,1,201501,77.19,36.88,0,33.04,0,30.12
CLT,2015,1,201501,71.72,26.29,5.09,39.82,0,28.78
DEN,2015,1,201501,78.84,14.09,3.28,42.86,0,39.76
DTW,2015,1,201501,81.6,27.32,0.47,23.29,0,48.92
MSP,2015,1,201501,79.73,27.12,0,30.66,0,42.23
RIC,2015,1,201501,72.27,26.81,0.6,31.42,0,41.17
SAV,2015,1,201501,65.17,22.63,6.44,34.76,0,36.17
LAN,2015,1,201501,66.23,26.88,7.04,36.27,0,29.77
MEM,2015,1,201501,74.45,26.37,2.39,48.94,0,22.3
HSV,2015,1,201501,76.98,31.91,1.47,32.34,0,34.31
MCI,2015,1,201501,75.47,25.62,5.32,27.98,0,41.08
ROC,2015,1,201501,77.04,33.26,1.94,33.61,0,31.19
ISN,2015,1,201501,68.6,42.11,1.21,41.24,0,15.45
STL,2015,1,201501,79.28,25.1,4.52,46.67,0,23.71
CMH,2015,1,201501,75.57,25.07,0,56.39,0,18.54
CVG,2015,1,201501,73.95,27.49,3.92,37.53,0,31.06
LNK,2015,1,201501,76.51,31.23,0,26.17,0,42.57
BNA,2015,1,201501,74.25,29.06,0.8,42.96,0,27.18
GSO,2015,1,201501,76.11,40.13,1.16,32.52,0,26.19
ICT,2015,1,201501,83.65,22.54,3.85,34.46,0,39.15
CLE,2015,1,201501,81.41,22.24,2.42,36.3,0,39.04
DCA,2015,1,201501,81.14,26.28,0,52.3,0,21.42
SDF,2015,1,201501,76.61,30.76,1.39,41.84,0,26
LBB,2015,1,201501,74.83,28.32,2.32,37.18,0,32.18
DAY,2015,1,201501,74.19,16.33,8.17,38,0,37.52
MFE,2015,1,201501,80.73,24.16,0,42.41,0,33.43
ERI,2015,1,201501,77.34,29.59,4.72,26.69,0,39
SCE,2015,1,201501,65.67,29.48,4.43,42.78,0,23.35
BWI,2015,1,201501,59.09,56.56,0,40.56,0,2.89
BUF,2015,1,201501,77.62,32,7.94,17.41,0,42.63
JAN,2015,1,201501,80.71,34.06,0,29.27,0,36.67
BHM,2015,1,201501,68.97,32.64,1.19,32.92,0,33.25
CHS,2015,1,201501,73.51,37.27,1.24,25.08,0,36.41
PNS,2015,1,201501,82.11,13.09,0,52.77,0,34.18
VPS,2015,1,201501,81.9,54.37,0,19.95,0,25.68
ALB,2015,1,201501,74.36,43,0,21.7,0,35.3
DAL,2015,1,201501,86.7,21,0,51.52,0,27.48
BOS,2015,1,201501,75.81,30.69,0,41.56,0,27.76
ABQ,2015,1,201501,86.52,35.33,0,20.33,0,44.33
HOB,2015,1,201501,81.63,17.78,0,55.44,0,26.78
XNA,2015,1,201501,81.15,36.27,2.04,27.29,0,34.41
TUS,2015,1,201501,74.26,30.81,0,34.62,0,34.58
BTV,2015,1,201501,70.95,42.21,3.23,23.53,0,31.02
MSY,2015,1,201501,86.36,36.33,0,63.67,0,0
MKE,2015,1,201501,85.46,26.79,1.7,48.61,0,22.91
PIT,2015,1,201501,73.73,25.34,1.61,35.37,0,37.66
ROA,2015,1,201501,78.95,49.42,0,16.5,0,34.08
SYR,2015,1,201501,84.06,10.36,0,32.45,0,57.18
CID,2015,1,201501,79.73,32.02,3.56,33.67,0,30.76
SBN,2015,1,201501,73.5,23.45,5.48,38.19,0,32.9
MTJ,2015,1,201501,79.63,42.09,6.73,23.91,0,27.27
MOT,2015,1,201501,78.69,27.85,3.08,45.08,0,24
TVC,2015,1,201501,75.26,28.92,0,24.17,0,46.92
RDU,2015,1,201501,80.18,34.73,2.27,38.36,0,24.64
SLC,2015,1,201501,23.53,27,0,31.54,0,41.46
DSM,2015,1,201501,65.28,25.08,0.28,46.16,0,28.52
MEI,2015,1,201501,79.76,62.29,0,14.59,0,23.12
PIB,2015,1,201501,79.25,8.27,0,8.91,0,82.73
GRR,2015,1,201501,78.79,38.41,3.43,30.33,0,27.84
CAK,2015,1,201501,79.13,40.25,2.08,28.88,0,28.79
OMA,2015,1,201501,80.28,33.51,1.65,31.56,0,33.28
GUC,2015,1,201501,62.86,29.23,16.08,30,0,24.77
BDL,2015,1,201501,70.52,42.2,4.08,25.59,0,28.12
AEX,2015,1,201501,83.07,34.53,0,33.81,0,31.66
PWM,2015,1,201501,75,40.67,0,11.33,0,48
FNT,2015,1,201501,67.74,28.9,9.9,23,0,38.2
AVL,2015,1,201501,87.72,53.07,0,36.57,0,10.36
PVD,2015,1,201501,71.89,28.27,1.34,42.19,0,28.2
GPT,2015,1,201501,80.84,41.75,0,36.38,0,21.84
LRD,2015,1,201501,85.88,32.08,0,42,0,26
MHT,2015,1,201501,67.27,29.28,0.25,28.28,0,42.19
DIK,2015,1,201501,61.11,30.14,1.38,37.76,0,30.71
CAE,2015,1,201501,77.63,33.49,1.18,29.1,0,36.23
DRO,2015,1,201501,82.35,14,0,14.67,0,71.33
AMA,2015,1,201501,73.68,32.3,0,51.07,0,16.63
CWA,2015,1,201501,68.85,20,13.21,15.37,0,51.47
FAR,2015,1,201501,65.81,26.95,7.28,38.88,0,26.9
ELP,2015,1,201501,81.73,23.33,0,47.56,0,29.11
PBI,2015,1,201501,72.73,1.33,0,98.67,0,0
LEX,2015,1,201501,74.74,46.37,1.45,22.26,0,29.92
PIA,2015,1,201501,82.99,40.12,5.08,31.48,0,23.36
MDT,2015,1,201501,89.13,49.4,0,26.2,0,24.5
SAF,2015,1,201501,72.22,31.9,0,42.4,0,25.6
ATW,2015,1,201501,76.03,32.4,3.43,25.57,0,38.57
TLH,2015,1,201501,76.47,60.85,0,17.4,0,21.75
FAY,2015,1,201501,85.71,48.78,0,10.61,0,40.61
MGM,2015,1,201501,83.08,28.67,0,21.61,0,49.73
AUS,2015,1,201501,80.36,19.27,0,34.64,0,46.09
RST,2015,1,201501,80,58.08,0,16.33,0,25.67
MDW,2015,1,201501,69.3,50.44,0,29.44,0,20.11
AZO,2015,1,201501,80.6,53.77,0,25.92,0,20.31
FWA,2015,1,201501,72.97,31.7,0,41.4,0,26.9
AGS,2015,1,201501,78.88,42.53,0,28.18,0,29.29
GNV,2015,1,201501,80.14,61.86,0,9.79,0,28.36
ILM,2015,1,201501,84.17,48.32,0,9.89,0,41.74
TRI,2015,1,201501,88.03,51.64,0,9.71,0,38.64
GTR,2015,1,201501,86.9,62.45,0,5.18,0,32.27
AVP,2015,1,201501,67.26,33.49,0,42,0,24.51
EVV,2015,1,201501,75.94,31.62,0,26.56,0,41.81
MBS,2015,1,201501,80,30.2,0,31,0,38.8
ABE,2015,1,201501,78.42,29.2,1.67,52,0,17.13
EYW,2015,1,201501,62.5,60.92,0,8.08,0,31
MCO,2015,1,201501,78.95,47.5,0,25.75,0,27
CHO,2015,1,201501,65.88,40,0,6.17,0,53.83
DHN,2015,1,201501,78.45,67.64,0,5.36,0,27
PHF,2015,1,201501,81.16,32.23,0,32.15,0,35.62
ELM,2015,1,201501,65.85,28.96,6.32,44.96,0,19.75
PHL,2015,1,201501,70.97,56,0,20.89,0,23.11
CHA,2015,1,201501,79.84,38.85,0,29.81,0,31.35
VLD,2015,1,201501,87.36,69,0,3.91,0,27.09
FSM,2015,1,201501,80.77,42.73,0,3.67,0,53.67
ECP,2015,1,201501,63.64,61.5,0,14.75,0,23.75
BMI,2015,1,201501,75.36,43.06,0,18.65,0,38.29
MYR,2015,1,201501,85.37,24.75,0,39.5,0,35.75
BQK,2015,1,201501,89.41,22.44,0,13.89,0,63.67
CSG,2015,1,201501,70,48.79,0,22.75,0,28.5
OAJ,2015,1,201501,82.14,52.6,0,16.2,0,31.2
EWN,2015,1,201501,84.21,38.22,0,5.67,0,56.11
ABY,2015,1,201501,80.49,40.75,0,15.56,0,43.69
BIS,2015,1,201501,77.36,30.83,0,27.67,0,41.42
PHX,2015,1,201501,0,0,0,0,0,0
GJT,2015,1,201501,82.14,49.2,0,41.4,0,9.6
SAN,2015,1,201501,72.6,20,1.2,40.35,0,38.45
DEN,2015,1,201501,71.78,20.96,0.38,43.04,0,35.62
ORD,2015,1,201501,60.99,15.75,0,46.27,0,37.97
MCO,2015,1,201501,60.14,25.84,1.19,45.7,0,27.26
STL,2015,1,201501,61.96,19.11,0,54.57,0,26.34
LAS,2015,1,201501,70.74,21.57,0.37,45.57,0,32.51
IND,2015,1,201501,69.23,10.92,2.25,45.08,0,41.75
CLE,2015,1,201501,68.31,15.59,0.97,36.23,0,47.21
PHX,2015,1,201501,73.36,24.25,2.75,49.79,0,23.21
SLC,2015,1,201501,70.32,16.17,1.35,43.43,0,39.04
PHL,2015,1,201501,50,14.13,0,44.27,0,41.6
MIA,2015,1,201501,58.89,22.96,4.23,51.22,0,21.59
MKE,2015,1,201501,59.26,25.33,0.15,49.42,0,25.09
TPA,2015,1,201501,58.24,17.86,1.05,52.14,0,28.96
IAD,2015,1,201501,58.41,21.7,0.31,43.02,0,34.97
PBI,2015,1,201501,75,59.5,0,26.17,0,14.33
LAX,2015,1,201501,80.23,12.82,0,54,0,33.18
FLL,2015,1,201501,80,48.95,0.1,31.86,0,19.1
MSP,2015,1,201501,58.33,10.87,0.87,44.53,0,43.73
DCA,2015,1,201501,73.63,15.79,0,58.42,0,25.79
RSW,2015,1,201501,75,33.61,6.78,31.89,0,27.72
ATL,2015,1,201501,68.62,27.37,3.44,46.49,0,22.69
TTN,2015,1,201501,61.09,19.66,0.53,34.96,0,44.86
CVG,2015,1,201501,80.99,31.78,0.96,26.7,0,40.57
DFW,2015,1,201501,73.72,19.14,0.67,49.14,0,31.06
IAH,2015,1,201501,73.04,20,1.13,47.87,0,30.97
SFO,2015,1,201501,71.43,23.42,0.15,59.13,0,17.3
MSN,2015,1,201501,64.29,23.4,0,43.6,0,33
OMA,2015,1,201501,60,58.19,0.19,30.69,0,11
BNA,2015,1,201501,81.82,23,0,54.17,0,22.83
MSY,2015,1,201501,69.7,12.7,0,49.2,0,38.1
FAR,2015,1,201501,71.43,7.5,0,33.75,0,58.75
RDU,2015,1,201501,73.68,65.4,0,26,0,8.6
CLT,2015,1,201501,71.43,10.33,0,29.83,0,59.83
SNA,2015,1,201501,89.66,15.78,0,28.56,0,55.67
OKC,2015,1,201501,81.48,3.4,0,64.6,0,31.8
MDT,2015,1,201501,91.67,50,0,33,0,17
ILG,2015,1,201501,80.77,31.4,0,26,0,42.4
SEA,2015,1,201501,59.09,19.33,0.28,47.5,0,32.89
AUS,2015,1,201501,67.92,17.71,0,41.29,0,41
PDX,2015,1,201501,65.31,26.71,0.41,39.41,0,33.41
FSD,2015,1,201501,69.23,14.75,0,59.88,0,25.37
LGA,2015,1,201501,53.23,32,0,54.9,0,13.1
MCI,2015,1,201501,75,34.7,0,33.3,0,32
DTW,2015,1,201501,62.5,19.11,1,34.44,0,45.33
UST,2015,1,201501,87.5,3,0,47,0,50
BZN,2015,1,201501,60,15,0,46.75,0,38.25
BMI,2015,1,201501,50,19.33,0,56.83,0,23.83
DSM,2015,1,201501,84.62,0,0,100,0,0
MEM,2015,1,201501,76,19.17,0,25.67,0,55.17
PSP,2015,1,201501,50,0,0,50,0,50
PHF,2015,1,201501,66.67,0,0,53,0,47
MSO,2015,1,201501,66.67,68,0,32,0,0
MOT,2015,1,201501,66.67,0,0,0,0,100
GEG,2015,1,201501,40,9.33,6.67,57.67,0,26.33
TYS,2015,1,201501,66.67,67,0,0,0,33
MDW,2015,1,201501,80,25.25,0,50.25,0,24.5
CID,2015,1,201501,50,4,0,96,0,0
IDA,2015,1,201501,50,72,0,8,0,21
GSO,2015,1,201501,50,0,0,100,0,0
FAT,2015,1,201501,100,0,0,0,0,0
BIS,2015,1,201501,50,0,12,22,0,66
SBA,2015,1,201501,66.67,13,0,56,0,31
HDN,2015,1,201501,0,2,0,5,0,93
BIL,2015,1,201501,50,63,0,33,0,5
LIH,2015,1,201501,91.53,40.98,0.56,1.82,0,56.64
OGG,2015,1,201501,87.31,52.74,3.07,3.84,0.53,39.83
HNL,2015,1,201501,83.53,45.31,0.98,9.02,0.4,44.29
SFO,2015,1,201501,91.94,34.6,42.4,20,0,3
SJC,2015,1,201501,77.42,54.93,14.29,3.14,0,27.71
OAK,2015,1,201501,87.1,35.88,22.63,12.5,0,29
JFK,2015,1,201501,82.76,62.2,17.8,0,0,20
LAX,2015,1,201501,90,71.31,0,0,0,28.69
ITO,2015,1,201501,85.98,35.96,0.09,4.3,0,59.65
KOA,2015,1,201501,88.02,37.01,0,4.9,0,58.09
LAS,2015,1,201501,89.33,67.63,0,0,0,32.38
SAN,2015,1,201501,83.87,80,0,0,0,20
SMF,2015,1,201501,87.1,65.75,0,10.5,0,23.75
SEA,2015,1,201501,85.48,49.56,11.11,7.44,0,31.89
PDX,2015,1,201501,90.32,66.67,0,0,0,33.33
PHX,2015,1,201501,80.65,59.67,25.83,0,0,14.5
LIT,2015,1,201501,57.02,31.93,12.58,29.03,1.02,25.45
ORD,2015,1,201501,64.1,11.33,1.79,42.89,0.17,43.81
EYW,2015,1,201501,92.45,67.88,0,12.38,0,19.75
MIA,2015,1,201501,86.28,27.86,4.25,16.33,0,51.56
DFW,2015,1,201501,72.38,15.61,3.01,30.55,0.38,50.45
MAF,2015,1,201501,67.61,42.48,2.93,24.14,0,30.43
ASE,2015,1,201501,61.29,54.94,4.89,13.75,1.39,25.03
CID,2015,1,201501,55.67,36.67,9.83,22.68,0,30.81
AEX,2015,1,201501,76.34,28.32,5.09,27.73,0,38.86
GRR,2015,1,201501,63.4,19.96,12.63,43.65,0,23.76
TOL,2015,1,201501,68.54,22.54,30.11,29.11,0,18.25
CHS,2015,1,201501,70.08,32.68,1.42,20.37,0,45.55
PIA,2015,1,201501,67.63,32.39,13.39,25.73,0,28.48
TUL,2015,1,201501,70.18,32.12,24.32,25.65,0,17.91
HSV,2015,1,201501,65.98,33.79,8.3,22.18,0,35.73
GRK,2015,1,201501,73.66,38.64,4.2,28.27,0.52,28.39
JAN,2015,1,201501,66.2,40.03,2.46,28.79,0.19,28.53
PNS,2015,1,201501,73.09,40.91,3.04,25.88,0,30.18
CRP,2015,1,201501,64.38,38.02,2.98,33.21,0,25.81
COU,2015,1,201501,62.9,44.5,12.11,15.93,0,27.43
MSP,2015,1,201501,58.73,11.54,23.96,20.88,0,43.62
LGA,2015,1,201501,69.95,12.73,1.28,55.02,0,30.97
STL,2015,1,201501,66.87,24.5,5.54,31.74,0,38.22
DSM,2015,1,201501,67.13,28.55,15.16,30.29,0,26
AZO,2015,1,201501,65.25,21.8,23.73,23.68,0,30.78
EVV,2015,1,201501,61.9,34.59,16.38,24.66,0,24.39
SAF,2015,1,201501,67.74,34.45,5.9,34.95,0,24.7
VPS,2015,1,201501,73.29,44.26,5.36,13.46,0,36.92
GSO,2015,1,201501,66.17,36.38,0.25,29.38,0,33.97
HPN,2015,1,201501,78.79,20.86,24.29,35.24,3.33,16.24
SYR,2015,1,201501,47.41,26.56,19.3,25.93,0,28.23
SGF,2015,1,201501,63.56,41.17,12.16,18.1,0,28.57
ABI,2015,1,201501,72.8,39.55,4.77,17.57,0.54,37.57
DTW,2015,1,201501,66.09,22.92,17.67,32.25,0,27.14
LSE,2015,1,201501,64.08,20.46,21.05,36.81,0,21.65
LRD,2015,1,201501,70.16,26.89,5.62,38.43,2.05,26.97
DBQ,2015,1,201501,70.93,14.16,24.76,35.8,0,25.28
MEM,2015,1,201501,67.12,26.4,21.06,22.98,0,29.56
MSN,2015,1,201501,64.44,25.73,12.29,31.88,0,30.11
FSM,2015,1,201501,75,42.03,1.57,13,0,43.4
CMH,2015,1,201501,63.23,17.96,14.09,33.88,0,34.06
LFT,2015,1,201501,73.91,46,4.17,23.27,0,26.57
FNT,2015,1,201501,64.04,30.16,28.25,16.19,0,25.41
ABQ,2015,1,201501,48.15,10,30.93,39.93,0,19.07
ROW,2015,1,201501,73.03,52.88,2.42,15.33,1.79,27.58
CVG,2015,1,201501,66.53,32.3,12.33,25.34,0.22,29.82
DRO,2015,1,201501,68.18,56.1,6.95,10.9,4.76,21.29
ROC,2015,1,201501,55,27.5,27.17,16.39,0,28.89
BMI,2015,1,201501,66.44,36.02,11.69,26.16,0,26.14
CHO,2015,1,201501,77.42,28.57,0,27.14,0,44.29
CLL,2015,1,201501,66.21,37.43,4.41,22.14,1.29,34.73
HOU,2015,1,201501,60.49,36.69,4.66,16.03,0,42.63
BNA,2015,1,201501,62.65,24.82,12.87,25.86,0,36.44
MKE,2015,1,201501,90,13,0,0,0,87
GUC,2015,1,201501,60,7.5,0,92.5,0,0
SDF,2015,1,201501,53.28,16.67,6.25,55.23,0,21.86
BDL,2015,1,201501,67.74,31.5,22.5,31.7,0,14.3
JFK,2015,1,201501,66.73,13.07,2.01,37.67,0.17,47.09
LEX,2015,1,201501,65.13,46.36,8.57,29.62,0,15.45
ACT,2015,1,201501,71.43,42.19,2.69,19.55,0,35.6
TVC,2015,1,201501,63.44,27.32,18.91,22.79,0,31
FWA,2015,1,201501,66.67,21.19,17.73,41.49,0,19.59
BUF,2015,1,201501,65.15,15.83,22.91,40.26,0,21.04
ATL,2015,1,201501,66.42,22.96,9.82,28.67,0,38.58
RDU,2015,1,201501,71.76,19.22,4.31,32.96,0,43.52
DAY,2015,1,201501,58.29,15.37,17.59,33.41,0,33.63
AMA,2015,1,201501,71.37,53.2,5.28,9.07,1.26,31.19
LCH,2015,1,201501,74.19,62,5.75,14,0,18.38
FAR,2015,1,201501,64.52,28.7,19.27,25.55,0.61,25.86
GPT,2015,1,201501,74.16,47.35,1.57,13.09,1.57,36.43
CLE,2015,1,201501,59.09,26.63,17.99,27,0,28.39
MHK,2015,1,201501,64.17,37.74,10.14,23.6,0,28.51
IND,2015,1,201501,64.53,36.44,12.82,30.23,0,20.51
RST,2015,1,201501,60.17,25.11,25.94,23.81,0,25.15
ALO,2015,1,201501,65.52,26.75,22.7,12.8,0,37.8
XNA,2015,1,201501,65.32,34.74,11.4,21.66,0.68,31.51
MGM,2015,1,201501,62.5,39.24,1.42,17.85,0,41.52
MLI,2015,1,201501,64.79,36.88,13.58,25.1,0,24.44
RAP,2015,1,201501,77.42,40.29,0,23.71,0,36
BTR,2015,1,201501,79.33,62.61,5.1,15.26,1.97,15.06
RIC,2015,1,201501,68.97,25.67,14.89,36.15,0,23.26
MQT,2015,1,201501,53.85,25,26.17,26.17,0,22.75
GJT,2015,1,201501,82.26,53.73,5,12.64,0,28.64
BWI,2015,1,201501,58.7,21.95,4.92,32.34,0,40.79
GGG,2015,1,201501,82.61,58.75,0,1.75,0,39.5
GCK,2015,1,201501,77.42,60.93,0.79,7.14,0,31.14
LAX,2015,1,201501,61.29,15.58,16.67,1.42,0,66.25
GRB,2015,1,201501,63.33,20.52,23.43,31.02,0,25.05
SAV,2015,1,201501,75.27,35.22,8.04,23.83,0,32.96
TYS,2015,1,201501,66.67,19.3,12,38.11,0,30.6
CMI,2015,1,201501,59.62,28.99,17.86,32.73,0,20.43
OKC,2015,1,201501,51.79,38.3,13.11,19.31,0,29.28
ELP,2015,1,201501,55.56,30.67,17.92,25.17,0,26.33
JLN,2015,1,201501,74.19,41,5,11.75,0,42.19
SHV,2015,1,201501,76.34,46,0.77,21.86,0.95,30.41
LBB,2015,1,201501,63.03,63.09,2.86,16.91,1.82,15.3
TLH,2015,1,201501,83.65,58.19,1.42,25.04,3.85,11.46
SJT,2015,1,201501,80,45.25,2.08,20.79,0,31.88
CWA,2015,1,201501,56.9,37,9.4,24.04,0,29.56
FSD,2015,1,201501,58.7,27.68,17.24,25.5,0,29.58
TYR,2015,1,201501,71.91,46.68,8,14.12,1.52,29.68
GRI,2015,1,201501,80.33,62,3.58,4.67,0,29.75
MLU,2015,1,201501,78.26,58,0,36.2,0,5.8
CAE,2015,1,201501,69.05,47.77,4.69,21.31,0,26.23
MDT,2015,1,201501,54.84,40.86,24.29,10.71,0,24.07
CHA,2015,1,201501,70.59,21.24,6.56,43.4,0,28.76
BIS,2015,1,201501,62.9,22.61,9.13,39.78,0,28.48
GSP,2015,1,201501,62.07,40.91,8.5,20.64,0,29.91
TXK,2015,1,201501,82.02,45.69,3.69,12.75,0,37.88
SPS,2015,1,201501,75.27,36.04,0,8.83,4.22,50.87
SUX,2015,1,201501,62.07,24.73,29.27,29.55,0,16.45
DCA,2015,1,201501,70.13,13.33,2.09,33.52,0,51.04
PIT,2015,1,201501,55.56,27.58,26.25,14.75,0,31.33
ORF,2015,1,201501,80.28,25.11,1.75,29.43,0,43.71
MOB,2015,1,201501,55.17,34.62,0.31,20.77,0,44.31
BHM,2015,1,201501,78.49,50.5,0,26.7,0,22.8
BPT,2015,1,201501,58.06,44.62,6.54,28.08,7.69,13.08
LAW,2015,1,201501,71.64,52.58,1.37,8.79,0,37.26
OMA,2015,1,201501,64.52,28.09,17.68,22.91,0,31.32
JAX,2015,1,201501,62.07,39,21.64,23.27,0,16
SPI,2015,1,201501,63.89,33.69,3.31,15.38,1.15,46.46
GNV,2015,1,201501,88.46,78.5,0,8.17,0,13.33
ORD,2015,1,201501,63.75,10.75,0,76.05,0,13.21
RSW,2015,1,201501,71.17,20.13,0.14,61.05,0,18.68
FLL,2015,1,201501,75.23,15.67,1.39,67.26,0,15.69
ATL,2015,1,201501,70.97,19.11,0.14,67.21,1.96,11.58
ACY,2015,1,201501,80.65,15.39,1.45,63.77,0,19.38
BOS,2015,1,201501,80.65,20.71,0,61.5,4.17,13.58
LAS,2015,1,201501,79.57,17.13,0,69.88,0,12.99
SAN,2015,1,201501,79.69,19.85,0,48.96,0,31.19
MCO,2015,1,201501,78.42,13.01,0.99,70.96,0,15.04
PDX,2015,1,201501,88.57,0,0,100,0,0
MYR,2015,1,201501,83.23,24.31,2.38,66.77,0,6.54
DFW,2015,1,201501,76.35,11.39,0.2,73.2,0.65,14.56
PHX,2015,1,201501,68.55,10.15,0,70.87,0,18.97
LGA,2015,1,201501,61.54,13.64,0.09,81.76,0,4.51
TPA,2015,1,201501,72.26,22.03,0.29,67.84,0,9.84
LBE,2015,1,201501,70.97,16.48,0,54.96,0,28.56
MSP,2015,1,201501,68.33,20.47,0,68.38,0,11.15
CLE,2015,1,201501,76.47,11.75,0,57.75,0,30.25
DTW,2015,1,201501,70.94,13.65,0.2,71.55,0,14.59
OAK,2015,1,201501,85.48,18.17,4.06,63.39,0,14.39
IAH,2015,1,201501,70,17.77,0.45,68.69,0,13.08
PBI,2015,1,201501,87.1,7.63,0,82.13,0,10.38
