iata,name,year,month,efficiencyFactor
ELP, El Paso International,2015,1,84.48
CAK, Akron-Canton Regional,2015,1,86.49
MDT, Harrisburg International,2015,1,82.89
OKC, Will Rogers World,2015,1,93.16
HSV, Huntsville International-Carl T Jones Field,2015,1,89.62
HDN, Yampa Valley,2015,1,85.19
MTJ, Montrose Regional,2015,1,100
ICT, Wichita Dwight D Eisenhower National,2015,1,89.04
BIL, Billings Logan International,2015,1,82.86
OAK, Metropolitan Oakland International,2015,1,95.12
FAR, Hector International,2015,1,81.97
CHO, Charlottesville Albemarle,2015,1,83.33
BZN, Bozeman Yellowstone International,2015,1,85.14
LEX, Blue Grass,2015,1,88.71
PWM, Portland International Jetport,2015,1,82.76
ROA, Roanoke Blacksburg Regional Woodrum Field,2015,1,85.19
FAY, Fayetteville Regional/Grannis Field,2015,1,90.32
SGF, Springfield-Branson National,2015,1,90.32
MYR, Myrtle Beach International,2015,1,87.1
DAL, Dallas Love Field,2015,1,93.33
LFT, Lafayette Regional Paul Fournet Field,2015,1,90.32
CAE, Columbia Metropolitan,2015,1,94.81
LIH, Lihue Airport,2015,1,87.1
TUL, Tulsa International,2015,1,92
PSP, Palm Springs International,2015,1,90
AGS, Augusta Regional at Bush Field,2015,1,89.74
BIS, Bismarck Municipal,2015,1,82.76
FSD, Joe Foss Field,2015,1,75
DLH, Duluth International,2015,1,96.43
STX, Henry E. Rohlsen,2015,1,100
GRB, Green Bay Austin Straubel International,2015,1,0
GNV, Gainesville Regional,2015,1,93.55
XNA, Northwest Arkansas Regional,2015,1,91.49
ABE, Lehigh Valley International,2015,1,87.5
CRW, Yeager,2015,1,64.29
CHA, Lovell Field,2015,1,96.94
DSM, Des Moines International,2015,1,84.62
ILM, Wilmington International,2015,1,92.86
EVV, Evansville Regional,2015,1,89.29
PSC, Tri Cities,2015,1,90.91
SHV, Shreveport Regional,2015,1,91.3
BTR, Baton Rouge Metropolitan/Ryan Field,2015,1,100
DFW, Dallas/Fort Worth International,2015,1,73.23
LAW, Lawton-Fort Sill Regional,2015,1,80.65
RAP, Rapid City Regional,2015,1,75.44
BTR, Baton Rouge Metropolitan/Ryan Field,2015,1,78.1
MHK, Manhattan Regional,2015,1,74.19
LFT, Lafayette Regional Paul Fournet Field,2015,1,79.13
CRP, Corpus Christi International,2015,1,75.35
SJT, San Angelo Regional/Mathis Field,2015,1,87.1
MLI, Quad City International,2015,1,72.33
TYR, Tyler Pounds Regional,2015,1,80
TYS, McGhee Tyson,2015,1,75
SHV, Shreveport Regional,2015,1,77.19
MOB, Mobile Regional,2015,1,80.56
FSD, Joe Foss Field,2015,1,73.86
CRW, Yeager,2015,1,75.68
BPT, Jack Brooks Regional,2015,1,64.52
CLL, Easterwood Field,2015,1,84.48
BRO, Brownsville South Padre Island International,2015,1,78.33
LCH, Lake Charles Regional,2015,1,82.05
SPS, Sheppard AFB/Wichita Falls Municipal,2015,1,69.23
LIT, Bill and Hillary Clinton Nat Adams Field,2015,1,75.9
GGG, East Texas Regional,2015,1,74.19
MLU, Monroe Regional,2015,1,82.02
OKC, Will Rogers World,2015,1,81.25
SGF, Springfield-Branson National,2015,1,82.99
TUL, Tulsa International,2015,1,82.89
ATL, Hartsfield-Jackson Atlanta International,2015,1,79.29
GRB, Green Bay Austin Straubel International,2015,1,68.22
GSP, Greenville-Spartanburg International,2015,1,76.52
HRL, Valley International,2015,1,82.46
IAD, Washington Dulles International,2015,1,75.28
IAH, George Bush Intercontinental/Houston,2015,1,82.15
ORD, Chicago O'Hare International,2015,1,75.42
COS, City of Colorado Springs Municipal,2015,1,88.17
EWR, Newark Liberty International,2015,1,79.07
GRK, Robert Gray AAF,2015,1,70.71
IND, Indianapolis International,2015,1,77.9
JAX, Jacksonville International,2015,1,70
MAF, Midland International,2015,1,80.95
MSN, Dane County Regional-Truax Field,2015,1,75.73
HPN, Westchester County,2015,1,76.25
LGA, LaGuardia,2015,1,71.16
ORF, Norfolk International,2015,1,75.94
SAT, San Antonio International,2015,1,77.19
CLT, Charlotte Douglas International,2015,1,71.72
DEN, Denver International,2015,1,78.84
DTW, Detroit Metro Wayne County,2015,1,81.6
MSP, Minneapolis-St Paul International,2015,1,79.73
RIC, Richmond International,2015,1,72.27
SAV, Savannah/Hilton Head International,2015,1,65.17
LAN, Capital Region International,2015,1,66.23
MEM, Memphis International,2015,1,74.45
HSV, Huntsville International-Carl T Jones Field,2015,1,76.98
MCI, Kansas City International,2015,1,75.47
ROC, Greater Rochester International,2015,1,77.04
ISN, Sloulin Field International,2015,1,68.6
STL, Lambert-St. Louis International,2015,1,79.28
CMH, Port Columbus International,2015,1,75.57
CVG, Cincinnati/Northern Kentucky International,2015,1,73.95
LNK, Lincoln Airport,2015,1,76.51
BNA, Nashville International,2015,1,74.25
GSO, Piedmont Triad International,2015,1,76.11
ICT, Wichita Dwight D Eisenhower National,2015,1,83.65
CLE, Cleveland-Hopkins International,2015,1,81.41
DCA, Ronald Reagan Washington National,2015,1,81.14
SDF, Louisville International-Standiford Field,2015,1,76.61
LBB, Lubbock Preston Smith International,2015,1,74.83
DAY, James M Cox/Dayton International,2015,1,74.19
MFE, McAllen Miller International,2015,1,80.73
ERI, Erie International/Tom Ridge Field,2015,1,77.34
SCE, University Park,2015,1,65.67
BWI, Baltimore/Washington International Thurgood Marshall,2015,1,59.09
BUF, Buffalo Niagara International,2015,1,77.62
JAN, Jackson Medgar Wiley Evers International,2015,1,80.71
BHM, Birmingham-Shuttlesworth International,2015,1,68.97
CHS, Charleston AFB/International,2015,1,73.51
PNS, Pensacola International,2015,1,82.11
VPS, Eglin AFB Destin Fort Walton Beach,2015,1,81.9
ALB, Albany International,2015,1,74.36
DAL, Dallas Love Field,2015,1,86.7
BOS, Logan International,2015,1,75.81
ABQ, Albuquerque International Sunport,2015,1,86.52
HOB, Lea County Regional,2015,1,81.63
XNA, Northwest Arkansas Regional,2015,1,81.15
TUS, Tucson International,2015,1,74.26
BTV, Burlington International,2015,1,70.95
MSY, Louis Armstrong New Orleans International,2015,1,86.36
MKE, General Mitchell International,2015,1,85.46
PIT, Pittsburgh International,2015,1,73.73
ROA, Roanoke Blacksburg Regional Woodrum Field,2015,1,78.95
SYR, Syracuse Hancock International,2015,1,84.06
CID, The Eastern Iowa,2015,1,79.73
SBN, South Bend International,2015,1,73.5
MTJ, Montrose Regional,2015,1,79.63
MOT, Minot International,2015,1,78.69
TVC, Cherry Capital,2015,1,75.26
RDU, Raleigh-Durham International,2015,1,80.18
SLC, Salt Lake City International,2015,1,23.53
DSM, Des Moines International,2015,1,65.28
MEI, Key Field,2015,1,79.76
PIB, Hattiesburg-Laurel Regional,2015,1,79.25
GRR, Gerald R. Ford International,2015,1,78.79
CAK, Akron-Canton Regional,2015,1,79.13
OMA, Eppley Airfield,2015,1,80.28
GUC, Gunnison-Crested Butte Regional,2015,1,62.86
BDL, Bradley International,2015,1,70.52
AEX, Alexandria International,2015,1,83.07
PWM, Portland International Jetport,2015,1,75
FNT, Bishop International,2015,1,67.74
AVL, Asheville Regional,2015,1,87.72
PVD, Theodore Francis Green State,2015,1,71.89
GPT, Gulfport-Biloxi International,2015,1,80.84
LRD, Laredo International,2015,1,85.88
MHT, Manchester-Boston Regional,2015,1,67.27
DIK, Dickinson - Theodore Roosevelt Regional,2015,1,61.11
CAE, Columbia Metropolitan,2015,1,77.63
DRO, Durango La Plata County,2015,1,82.35
AMA, Rick Husband Amarillo International,2015,1,73.68
CWA, Central Wisconsin,2015,1,68.85
FAR, Hector International,2015,1,65.81
ELP, El Paso International,2015,1,81.73
PBI, Palm Beach International,2015,1,72.73
LEX, Blue Grass,2015,1,74.74
PIA, General Downing - Peoria International,2015,1,82.99
MDT, Harrisburg International,2015,1,89.13
SAF, Santa Fe Municipal,2015,1,72.22
ATW, Appleton International,2015,1,76.03
TLH, Tallahassee International,2015,1,76.47
FAY, Fayetteville Regional/Grannis Field,2015,1,85.71
MGM, Montgomery Regional,2015,1,83.08
AUS, Austin - Bergstrom International,2015,1,80.36
RST, Rochester International,2015,1,80
MDW, Chicago Midway International,2015,1,69.3
AZO, Kalamazoo/Battle Creek International,2015,1,80.6
FWA, Fort Wayne International,2015,1,72.97
AGS, Augusta Regional at Bush Field,2015,1,78.88
GNV, Gainesville Regional,2015,1,80.14
ILM, Wilmington International,2015,1,84.17
TRI, Tri-Cities Regional TN/VA,2015,1,88.03
GTR, Golden Triangle Regional,2015,1,86.9
AVP, Wilkes Barre Scranton International,2015,1,67.26
EVV, Evansville Regional,2015,1,75.94
MBS, MBS International,2015,1,80
ABE, Lehigh Valley International,2015,1,78.42
EYW, Key West International,2015,1,62.5
MCO, Orlando International,2015,1,78.95
CHO, Charlottesville Albemarle,2015,1,65.88
DHN, Dothan Regional,2015,1,78.45
PHF, Newport News/Williamsburg International,2015,1,81.16
ELM, Elmira/Corning Regional,2015,1,65.85
PHL, Philadelphia International,2015,1,70.97
CHA, Lovell Field,2015,1,79.84
VLD, Valdosta Regional,2015,1,87.36
FSM, Fort Smith Regional,2015,1,80.77
ECP, Northwest Florida Beaches International,2015,1,63.64
BMI, Central Illinois Regional,2015,1,75.36
MYR, Myrtle Beach International,2015,1,85.37
BQK, Brunswick Golden Isles,2015,1,89.41
CSG, Columbus Airport,2015,1,70
OAJ, Albert J Ellis,2015,1,82.14
EWN, Coastal Carolina Regional,2015,1,84.21
ABY, Southwest Georgia Regional,2015,1,80.49
BIS, Bismarck Municipal,2015,1,77.36
PHX, Phoenix Sky Harbor International,2015,1,0
GJT, Grand Junction Regional,2015,1,82.14
SAN, San Diego International,2015,1,72.6
DEN, Denver International,2015,1,71.78
ORD, Chicago O'Hare International,2015,1,60.99
MCO, Orlando International,2015,1,60.14
STL, Lambert-St. Louis International,2015,1,61.96
LAS, McCarran International,2015,1,70.74
IND, Indianapolis International,2015,1,69.23
CLE, Cleveland-Hopkins International,2015,1,68.31
PHX, Phoenix Sky Harbor International,2015,1,73.36
SLC, Salt Lake City International,2015,1,70.32
PHL, Philadelphia International,2015,1,50
MIA, Miami International,2015,1,58.89
MKE, General Mitchell International,2015,1,59.26
TPA, Tampa International,2015,1,58.24
IAD, Washington Dulles International,2015,1,58.41
PBI, Palm Beach International,2015,1,75
LAX, Los Angeles International,2015,1,80.23
FLL, Fort Lauderdale-Hollywood International,2015,1,80
MSP, Minneapolis-St Paul International,2015,1,58.33
DCA, Ronald Reagan Washington National,2015,1,73.63
RSW, Southwest Florida International,2015,1,75
ATL, Hartsfield-Jackson Atlanta International,2015,1,68.62
TTN, Trenton Mercer,2015,1,61.09
CVG, Cincinnati/Northern Kentucky International,2015,1,80.99
DFW, Dallas/Fort Worth International,2015,1,73.72
IAH, George Bush Intercontinental/Houston,2015,1,73.04
SFO, San Francisco International,2015,1,71.43
MSN, Dane County Regional-Truax Field,2015,1,64.29
OMA, Eppley Airfield,2015,1,60
BNA, Nashville International,2015,1,81.82
MSY, Louis Armstrong New Orleans International,2015,1,69.7
FAR, Hector International,2015,1,71.43
RDU, Raleigh-Durham International,2015,1,73.68
CLT, Charlotte Douglas International,2015,1,71.43
SNA, John Wayne Airport-Orange County,2015,1,89.66
OKC, Will Rogers World,2015,1,81.48
MDT, Harrisburg International,2015,1,91.67
ILG, New Castle,2015,1,80.77
SEA, Seattle/Tacoma International,2015,1,59.09
AUS, Austin - Bergstrom International,2015,1,67.92
PDX, Portland International,2015,1,65.31
FSD, Joe Foss Field,2015,1,69.23
LGA, LaGuardia,2015,1,53.23
MCI, Kansas City International,2015,1,75
DTW, Detroit Metro Wayne County,2015,1,62.5
UST, Northeast Florida Regional,2015,1,87.5
BZN, Bozeman Yellowstone International,2015,1,60
BMI, Central Illinois Regional,2015,1,50
DSM, Des Moines International,2015,1,84.62
MEM, Memphis International,2015,1,76
PSP, Palm Springs International,2015,1,50
PHF, Newport News/Williamsburg International,2015,1,66.67
MSO, Missoula International,2015,1,66.67
MOT, Minot International,2015,1,66.67
GEG, Spokane International,2015,1,40
TYS, McGhee Tyson,2015,1,66.67
MDW, Chicago Midway International,2015,1,80
CID, The Eastern Iowa,2015,1,50
IDA, Idaho Falls Regional,2015,1,50
GSO, Piedmont Triad International,2015,1,50
FAT, Fresno Yosemite International,2015,1,100
BIS, Bismarck Municipal,2015,1,50
SBA, Santa Barbara Municipal,2015,1,66.67
HDN, Yampa Valley,2015,1,0
BIL, Billings Logan International,2015,1,50
LIH, Lihue Airport,2015,1,91.53
OGG, Kahului Airport,2015,1,87.31
HNL, Honolulu International,2015,1,83.53
SFO, San Francisco International,2015,1,91.94
SJC, Norman Y. Mineta San Jose International,2015,1,77.42
OAK, Metropolitan Oakland International,2015,1,87.1
JFK, John F. Kennedy International,2015,1,82.76
LAX, Los Angeles International,2015,1,90
ITO, Hilo International,2015,1,85.98
KOA, Kona International Airport at Keahole,2015,1,88.02
LAS, McCarran International,2015,1,89.33
SAN, San Diego International,2015,1,83.87
SMF, Sacramento International,2015,1,87.1
SEA, Seattle/Tacoma International,2015,1,85.48
PDX, Portland International,2015,1,90.32
PHX, Phoenix Sky Harbor International,2015,1,80.65
LIT, Bill and Hillary Clinton Nat Adams Field,2015,1,57.02
ORD, Chicago O'Hare International,2015,1,64.1
EYW, Key West International,2015,1,92.45
MIA, Miami International,2015,1,86.28
DFW, Dallas/Fort Worth International,2015,1,72.38
MAF, Midland International,2015,1,67.61
ASE, Aspen Pitkin County Sardy Field,2015,1,61.29
CID, The Eastern Iowa,2015,1,55.67
AEX, Alexandria International,2015,1,76.34
GRR, Gerald R. Ford International,2015,1,63.4
TOL, Toledo Express,2015,1,68.54
CHS, Charleston AFB/International,2015,1,70.08
PIA, General Downing - Peoria International,2015,1,67.63
TUL, Tulsa International,2015,1,70.18
HSV, Huntsville International-Carl T Jones Field,2015,1,65.98
GRK, Robert Gray AAF,2015,1,73.66
JAN, Jackson Medgar Wiley Evers International,2015,1,66.2
PNS, Pensacola International,2015,1,73.09
CRP, Corpus Christi International,2015,1,64.38
COU, Columbia Regional,2015,1,62.9
MSP, Minneapolis-St Paul International,2015,1,58.73
LGA, LaGuardia,2015,1,69.95
STL, Lambert-St. Louis International,2015,1,66.87
DSM, Des Moines International,2015,1,67.13
AZO, Kalamazoo/Battle Creek International,2015,1,65.25
EVV, Evansville Regional,2015,1,61.9
SAF, Santa Fe Municipal,2015,1,67.74
VPS, Eglin AFB Destin Fort Walton Beach,2015,1,73.29
GSO, Piedmont Triad International,2015,1,66.17
HPN, Westchester County,2015,1,78.79
SYR, Syracuse Hancock International,2015,1,47.41
SGF, Springfield-Branson National,2015,1,63.56
ABI, Abilene Regional,2015,1,72.8
DTW, Detroit Metro Wayne County,2015,1,66.09
LSE, La Crosse Regional,2015,1,64.08
LRD, Laredo International,2015,1,70.16
DBQ, Dubuque Regional,2015,1,70.93
MEM, Memphis International,2015,1,67.12
MSN, Dane County Regional-Truax Field,2015,1,64.44
FSM, Fort Smith Regional,2015,1,75
PPG, Pago Pago International,2015,1,90
CMH, Port Columbus International,2015,1,63.23
LFT, Lafayette Regional Paul Fournet Field,2015,1,73.91
FNT, Bishop International,2015,1,64.04
ABQ, Albuquerque International Sunport,2015,1,48.15
ROW, Roswell International Air Center,2015,1,73.03
CVG, Cincinnati/Northern Kentucky International,2015,1,66.53
DRO, Durango La Plata County,2015,1,68.18
ROC, Greater Rochester International,2015,1,55
BMI, Central Illinois Regional,2015,1,66.44
CHO, Charlottesville Albemarle,2015,1,77.42
CLL, Easterwood Field,2015,1,66.21
HOU, William P Hobby,2015,1,60.49
BNA, Nashville International,2015,1,62.65
MKE, General Mitchell International,2015,1,90
GUC, Gunnison-Crested Butte Regional,2015,1,60
SDF, Louisville International-Standiford Field,2015,1,53.28
BDL, Bradley International,2015,1,67.74
JFK, John F. Kennedy International,2015,1,66.73
LEX, Blue Grass,2015,1,65.13
ACT, Waco Regional,2015,1,71.43
TVC, Cherry Capital,2015,1,63.44
FWA, Fort Wayne International,2015,1,66.67
BUF, Buffalo Niagara International,2015,1,65.15
ATL, Hartsfield-Jackson Atlanta International,2015,1,66.42
RDU, Raleigh-Durham International,2015,1,71.76
DAY, James M Cox/Dayton International,2015,1,58.29
AMA, Rick Husband Amarillo International,2015,1,71.37
LCH, Lake Charles Regional,2015,1,74.19
FAR, Hector International,2015,1,64.52
GPT, Gulfport-Biloxi International,2015,1,74.16
CLE, Cleveland-Hopkins International,2015,1,59.09
MHK, Manhattan Regional,2015,1,64.17
IND, Indianapolis International,2015,1,64.53
RST, Rochester International,2015,1,60.17
ALO, Waterloo Regional,2015,1,65.52
XNA, Northwest Arkansas Regional,2015,1,65.32
MGM, Montgomery Regional,2015,1,62.5
MLI, Quad City International,2015,1,64.79
RAP, Rapid City Regional,2015,1,77.42
BTR, Baton Rouge Metropolitan/Ryan Field,2015,1,79.33
RIC, Richmond International,2015,1,68.97
MQT, Sawyer International,2015,1,53.85
GJT, Grand Junction Regional,2015,1,82.26
BWI, Baltimore/Washington International Thurgood Marshall,2015,1,58.7
GGG, East Texas Regional,2015,1,82.61
GCK, Garden City Regional,2015,1,77.42
LAX, Los Angeles International,2015,1,61.29
GRB, Green Bay Austin Straubel International,2015,1,63.33
SAV, Savannah/Hilton Head International,2015,1,75.27
TYS, McGhee Tyson,2015,1,66.67
CMI, University of Illinois/Willard,2015,1,59.62
OKC, Will Rogers World,2015,1,51.79
ELP, El Paso International,2015,1,55.56
JLN, Joplin Regional,2015,1,74.19
SHV, Shreveport Regional,2015,1,76.34
LBB, Lubbock Preston Smith International,2015,1,63.03
TLH, Tallahassee International,2015,1,83.65
SJT, San Angelo Regional/Mathis Field,2015,1,80
CWA, Central Wisconsin,2015,1,56.9
FSD, Joe Foss Field,2015,1,58.7
TYR, Tyler Pounds Regional,2015,1,71.91
GRI, Central Nebraska Regional,2015,1,80.33
MLU, Monroe Regional,2015,1,78.26
CAE, Columbia Metropolitan,2015,1,69.05
MDT, Harrisburg International,2015,1,54.84
CHA, Lovell Field,2015,1,70.59
BIS, Bismarck Municipal,2015,1,62.9
GSP, Greenville-Spartanburg International,2015,1,62.07
TXK, Texarkana Regional-Webb Field,2015,1,82.02
SPS, Sheppard AFB/Wichita Falls Municipal,2015,1,75.27
SUX, Sioux Gateway/Col. Bud Day Field,2015,1,62.07
DCA, Ronald Reagan Washington National,2015,1,70.13
PIT, Pittsburgh International,2015,1,55.56
ORF, Norfolk International,2015,1,80.28
MOB, Mobile Regional,2015,1,55.17
BHM, Birmingham-Shuttlesworth International,2015,1,78.49
BPT, Jack Brooks Regional,2015,1,58.06
LAW, Lawton-Fort Sill Regional,2015,1,71.64
OMA, Eppley Airfield,2015,1,64.52
JAX, Jacksonville International,2015,1,62.07
SPI, Abraham Lincoln Capital,2015,1,63.89
GNV, Gainesville Regional,2015,1,88.46
ORD, Chicago O'Hare International,2015,1,63.75
RSW, Southwest Florida International,2015,1,71.17
FLL, Fort Lauderdale-Hollywood International,2015,1,75.23
ATL, Hartsfield-Jackson Atlanta International,2015,1,70.97
ACY, Atlantic City International,2015,1,80.65
BOS, Logan International,2015,1,80.65
LAS, McCarran International,2015,1,79.57
SAN, San Diego International,2015,1,79.69
MCO, Orlando International,2015,1,78.42
PDX, Portland International,2015,1,88.57
MYR, Myrtle Beach International,2015,1,83.23
DFW, Dallas/Fort Worth International,2015,1,76.35
PHX, Phoenix Sky Harbor International,2015,1,68.55
LGA, LaGuardia,2015,1,61.54
TPA, Tampa International,2015,1,72.26
LBE, Arnold Palmer Regional,2015,1,70.97
MSP, Minneapolis-St Paul International,2015,1,68.33
CLE, Cleveland-Hopkins International,2015,1,76.47
DTW, Detroit Metro Wayne County,2015,1,70.94
OAK, Metropolitan Oakland International,2015,1,85.48
IAH, George Bush Intercontinental/Houston,2015,1,70
PBI, Palm Beach International,2015,1,87.1
STT, Cyril E King,2015,1,70.97
PHL, Philadelphia International,2015,1,66.13
LAX, Los Angeles International,2015,1,72.63
BWI, Baltimore/Washington International Thurgood Marshall,2015,1,70.97
PBG, Plattsburgh International,2015,1,70.97
MCI, Kansas City International,2015,1,69.47
DEN, Denver International,2015,1,67.52
IAG, Niagara Falls International,2015,1,58.06
SJU, Luis Munoz Marin International,2015,1,73.77
MSY, Louis Armstrong New Orleans International,2015,1,78.06
RNO, Reno/Tahoe International,2015,1,82.49
LAX, Los Angeles International,2015,1,80.44
SAN, San Diego International,2015,1,82.4
CLD, McClellan-Palomar,2015,1,86.76
LAR, Laramie Regional,2015,1,79.03
SFO, San Francisco International,2015,1,72.61
DEN, Denver International,2015,1,72.4
SBA, Santa Barbara Municipal,2015,1,80.52
ONT, Ontario International,2015,1,79.03
MKE, General Mitchell International,2015,1,64.79
ORD, Chicago O'Hare International,2015,1,68.87
SBP, San Luis County Regional,2015,1,83.77
DVL, Devils Lake Regional,2015,1,64.58
FLG, Flagstaff Pulliam,2015,1,79.58
PHX, Phoenix Sky Harbor International,2015,1,84.02
BHM, Birmingham-Shuttlesworth International,2015,1,62.16
IAH, George Bush Intercontinental/Houston,2015,1,74.09
OKC, Will Rogers World,2015,1,69.63
AUS, Austin - Bergstrom International,2015,1,63.57
BOI, Boise Air Terminal,2015,1,69.23
DCA, Ronald Reagan Washington National,2015,1,56.6
MSP, Minneapolis-St Paul International,2015,1,81.02
OMA, Eppley Airfield,2015,1,76.23
SUN, Friedman Memorial,2015,1,78.79
BIL, Billings Logan International,2015,1,84.95
COS, City of Colorado Springs Municipal,2015,1,66.43
FCA, Glacier Park International,2015,1,75.19
STL, Lambert-St. Louis International,2015,1,67.35
AMA, Rick Husband Amarillo International,2015,1,73.91
CVG, Cincinnati/Northern Kentucky International,2015,1,79.15
GRR, Gerald R. Ford International,2015,1,71.69
SMF, Sacramento International,2015,1,75.04
MRY, Monterey Regional,2015,1,83.9
SLC, Salt Lake City International,2015,1,87.21
SAF, Santa Fe Municipal,2015,1,63.16
FAT, Fresno Yosemite International,2015,1,75.12
ELP, El Paso International,2015,1,72.66
SJC, Norman Y. Mineta San Jose International,2015,1,81.39
ABQ, Albuquerque International Sunport,2015,1,83.4
GCC, Gillette Campbell County,2015,1,80
PAH, Barkley Regional,2015,1,73.77
MAF, Midland International,2015,1,75.28
CEC, Jack McNamara Field,2015,1,78.69
BUR, Bob Hope,2015,1,85.3
BZN, Bozeman Yellowstone International,2015,1,70.69
DSM, Des Moines International,2015,1,70.81
MFR, Rogue Valley International - Medford,2015,1,76.13
TUL, Tulsa International,2015,1,75
FSD, Joe Foss Field,2015,1,67.35
ICT, Wichita Dwight D Eisenhower National,2015,1,54.77
MBS, MBS International,2015,1,70.5
MLI, Quad City International,2015,1,74.68
PSC, Tri Cities,2015,1,70.89
DLH, Duluth International,2015,1,74.8
CID, The Eastern Iowa,2015,1,60.25
DAY, James M Cox/Dayton International,2015,1,66.13
DTW, Detroit Metro Wayne County,2015,1,75.4
RAP, Rapid City Regional,2015,1,75.21
EUG, Mahlon Sweet Field,2015,1,76.06
RDM, Roberts Field,2015,1,78.79
ATL, Hartsfield-Jackson Atlanta International,2015,1,70.68
BIS, Bismarck Municipal,2015,1,65.24
ATW, Appleton International,2015,1,78.57
PSP, Palm Springs International,2015,1,79.02
MDW, Chicago Midway International,2015,1,50
MEM, Memphis International,2015,1,71.13
GEG, Spokane International,2015,1,78.03
GRB, Green Bay Austin Straubel International,2015,1,82.05
TUS, Tucson International,2015,1,73.03
FWA, Fort Wayne International,2015,1,71.91
MKG, Muskegon County,2015,1,75.81
CMX, Houghton County Memorial,2015,1,78.33
MOT, Minot International,2015,1,64.42
BUF, Buffalo Niagara International,2015,1,100
BFL, Meadows Field,2015,1,75.76
GJT, Grand Junction Regional,2015,1,84.13
LAS, McCarran International,2015,1,72.41
ASE, Aspen Pitkin County Sardy Field,2015,1,68.91
MIA, Miami International,2015,1,0
ALB, Albany International,2015,1,28.57
FAR, Hector International,2015,1,66.46
MFE, McAllen Miller International,2015,1,80
MSO, Missoula International,2015,1,88.3
SAT, San Antonio International,2015,1,63.72
ACV, Arcata,2015,1,83.89
YUM, Yuma MCAS/Yuma International,2015,1,81.93
DRO, Durango La Plata County,2015,1,89.62
BQN, Rafael Hernandez,2015,1,84.62
JMS, Jamestown Regional,2015,1,69.74
LAN, Capital Region International,2015,1,79.82
SEA, Seattle/Tacoma International,2015,1,74.72
SBN, South Bend International,2015,1,72.12
PDX, Portland International,2015,1,80.67
CLE, Cleveland-Hopkins International,2015,1,75
SNA, John Wayne Airport-Orange County,2015,1,75.77
IND, Indianapolis International,2015,1,65.45
LNK, Lincoln Airport,2015,1,71.15
MMH, Mammoth Lakes Airport,2015,1,77.78
DFW, Dallas/Fort Worth International,2015,1,57.92
MCI, Kansas City International,2015,1,60.15
BNA, Nashville International,2015,1,79.57
XNA, Northwest Arkansas Regional,2015,1,72.22
ORF, Norfolk International,2015,1,63.27
TVC, Cherry Capital,2015,1,62.5
GFK, Grand Forks International,2015,1,82
BDL, Bradley International,2015,1,57.14
MSN, Dane County Regional-Truax Field,2015,1,72.84
PLN, Pellston Regional Airport of Emmet County,2015,1,75.47
SGU, St George Regional,2015,1,86.39
SPI, Abraham Lincoln Capital,2015,1,72.04
EAU, Chippewa Valley Regional,2015,1,70.97
JAC, Jackson Hole,2015,1,72.25
HLN, Helena Regional,2015,1,87.27
SGF, Springfield-Branson National,2015,1,66.67
DAL, Dallas Love Field,2015,1,50
SMX, Santa Maria Public/Capt. G. Allan Hancock Field,2015,1,90
CLT, Charlotte Douglas International,2015,1,80
SDF, Louisville International-Standiford Field,2015,1,40
MTJ, Montrose Regional,2015,1,66.67
FNT, Bishop International,2015,1,64.71
MSY, Louis Armstrong New Orleans International,2015,1,83.78
AVL, Asheville Regional,2015,1,50
RHI, Rhinelander/Oneida County,2015,1,84.27
LGB, Long Beach Airport,2015,1,93.6
GTF, Great Falls International,2015,1,80.82
VEL, Vernal Regional,2015,1,92.45
HIB, Range Regional,2015,1,78.95
ESC, Delta County,2015,1,69.81
INL, Falls International Einarson Field,2015,1,84.91
IMT, Ford,2015,1,80.7
STC, St. Cloud Regional,2015,1,63.79
HDN, Yampa Valley,2015,1,64.29
CAK, Akron-Canton Regional,2015,1,0
OAK, Metropolitan Oakland International,2015,1,81.15
BRD, Brainerd Lakes Regional,2015,1,92.73
PIH, Pocatello Regional,2015,1,90.16
TWF, Joslin Field - Magic Valley Regional,2015,1,93.55
EKO, Elko Regional,2015,1,90.16
IDA, Idaho Falls Regional,2015,1,72.73
AZO, Kalamazoo/Battle Creek International,2015,1,78.57
LWS, Lewiston Nez Perce County,2015,1,98.11
CIU, Chippewa County International,2015,1,77.19
CMH, Port Columbus International,2015,1,70
ISN, Sloulin Field International,2015,1,75.18
BMI, Central Illinois Regional,2015,1,73.91
CHO, Charlottesville Albemarle,2015,1,43.55
PUB, Pueblo Memorial,2015,1,77.36
RKS, Rock Springs Sweetwater County,2015,1,88.33
ABR, Aberdeen Regional,2015,1,83.87
CWA, Central Wisconsin,2015,1,100
RST, Rochester International,2015,1,50
LSE, La Crosse Regional,2015,1,75
DIK, Dickinson - Theodore Roosevelt Regional,2015,1,85.71
EVV, Evansville Regional,2015,1,100
BWI, Baltimore/Washington International Thurgood Marshall,2015,1,100
IAD, Washington Dulles International,2015,1,73.68
LGA, LaGuardia,2015,1,80
PIA, General Downing - Peoria International,2015,1,54.76
PIT, Pittsburgh International,2015,1,60.38
PBI, Palm Beach International,2015,1,75
LEX, Blue Grass,2015,1,100
CHS, Charleston AFB/International,2015,1,33.33
BOS, Logan International,2015,1,70
RDU, Raleigh-Durham International,2015,1,76.32
RDD, Redding Municipal,2015,1,75
SYR, Syracuse Hancock International,2015,1,73.68
COD, Yellowstone Regional,2015,1,90.32
